,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date,Expected US Yield,Excess Yield,Z-Spread,Excess Yield Bucket
389,PHILIPPINES (REPUBLIC OF),Sovereign,Fixed Income,"18,582,331.94",0.12,"18,582,331.94","17,350,000.00",718286DB0,US718286DB06,-,105.63,Philippines,-,USD,13.34,5.19,1.0,"May 14, 2049",5.6,13.44,-,5.19,13.44,5.19,USD,"May 14, 2024","May 14, 2024",3.955912,1.2340880000000003,0.8159371299180914,1-2
391,CORPORACION NACIONAL DEL COBRE DE RegS,Agency,Fixed Income,"18,504,801.00",0.12,"18,504,801.00","17,395,000.00",-,USP3143NBR46,-,103.56,Chile,-,USD,13.1,6.04,1.0,"Sep 08, 2053",6.3,13.16,-,6.04,13.07,6.04,USD,"Sep 08, 2023","Sep 08, 2023",3.94708,2.09292,1.6900364924639144,2-3
404,PHILIPPINES (REPUBLIC OF),Sovereign,Fixed Income,"18,008,107.19",0.12,"18,008,107.19","26,025,000.00",718286CL9,US718286CL96,-,68.69,Philippines,-,USD,14.63,5.07,1.0,"Dec 10, 2045",2.65,14.71,-,5.07,14.71,5.07,USD,"Dec 10, 2020","Dec 10, 2020",4.003384,1.0666160000000007,1.7101962821051948,1-2
408,SINOPEC GROUP OVERSEAS DEVELOPMENT RegS,Agency,Fixed Income,"17,765,430.05",0.11,"17,765,430.05","17,463,000.00",-,USG8189YAC87,B6XW1R8,100.49,China,-,USD,11.63,4.83,1.0,"May 17, 2042",4.88,11.66,-,4.83,11.66,4.83,USD,"May 17, 2012","May 17, 2012",3.892984,0.9370159999999998,0.6289704060176557,0-1
432,PERTAMINA PERSERO PT MTN RegS,Agency,Fixed Income,"16,993,071.91",0.11,"16,993,071.91","15,491,000.00",69370RAA5,US69370RAA59,BMW3NT0,108.28,Indonesia,-,USD,11.27,5.74,1.0,"May 30, 2044",6.45,11.31,-,5.74,11.31,5.74,USD,"May 30, 2014","May 30, 2014",3.8797360000000003,1.860264,1.231589223078018,1-2
436,INDONESIA (REPUBLIC OF),Sovereign,Fixed Income,"16,641,599.87",0.11,"16,641,599.87","18,384,000.00",455780CE4,US455780CE46,BF133W5,90.06,Indonesia,-,USD,13.88,5.08,1.0,"Jan 11, 2048",4.35,13.98,-,5.08,13.98,5.08,USD,"Dec 11, 2017","Dec 11, 2017",3.975784,1.104216,1.2030874740022361,1-2
437,CHILE (REPUBLIC OF),Sovereign,Fixed Income,"16,607,596.05",0.11,"16,607,596.05","21,802,000.00",-,XS2327851874,-,74.97,Chile,-,USD,15.79,5.19,1.0,"Apr 15, 2053",3.5,15.89,-,5.19,15.89,5.19,USD,"Apr 15, 2021","Apr 15, 2021",4.046072,1.1439280000000007,1.8029904049269152,1-2
438,PHILIPPINES (REPUBLIC OF),Sovereign,Fixed Income,"16,607,201.73",0.11,"16,607,201.73","22,679,000.00",718286CH8,US718286CH84,-,72.38,Philippines,-,USD,13.98,5.13,1.0,"May 05, 2045",2.95,14.05,-,5.13,14.05,5.13,USD,"May 05, 2020","May 05, 2020",3.979464,1.1505359999999998,1.7787552266472204,1-2
450,MDGH GMTN RSC LTD MTN RegS,Agency,Fixed Income,"16,053,926.17",0.1,"16,053,926.17","19,372,000.00",-,XS2175968580,-,81.91,United Arab Emirates,-,USD,14.6,5.24,1.0,"May 21, 2050",3.95,14.76,-,5.24,14.76,5.24,USD,"May 21, 2020","May 21, 2020",4.00228,1.2377200000000004,1.6169688396033046,1-2
461,INDONESIA (REPUBLIC OF) RegS,Sovereign,Fixed Income,"15,786,751.89",0.1,"15,786,751.89","16,333,000.00",-,USY20721BE87,B9MD0X2,95.06,Indonesia,-,USD,11.97,5.04,1.0,"Apr 15, 2043",4.63,12.02,-,5.04,12.02,5.04,USD,"Apr 15, 2013","Apr 15, 2013",3.9054960000000003,1.1345039999999997,1.008653088198989,1-2
